tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,payment_type,PULocationID,DOLocationID
2023-01-08T07:11:36.000,2023-01-08T08:47:46.000,1.0,79.89,524.5,0.0,528.5,2,48,265
2023-01-29T12:34:33.000,2023-01-29T16:22:29.000,1.0,63.6,513.3,0.0,527.9,3,41,41
2023-01-09T22:44:50.000,2023-01-10T00:00:14.000,1.0,58.96,480.0,0.0,521.55,2,132,265
2023-01-04T18:58:27.000,2023-01-04T19:12:21.000,1.0,5.04,500.0,0.0,517.25,2,230,265
2023-01-12T16:32:18.000,2023-01-12T18:50:03.000,1.0,87.53,497.2,0.0,508.5,2,132,265
2023-01-09T10:32:14.000,2023-01-09T12:14:41.000,1.0,82.2,415.0,84.5,507.05,1,132,265
2023-01-28T06:04:39.000,2023-01-28T07:23:53.000,1.0,65.1,392.9,84.35,506.2,1,132,265
2023-01-02T11:18:05.000,2023-01-02T12:45:37.000,1.0,80.96,496.5,0.0,505.8,2,132,265
2023-01-14T03:29:33.000,2023-01-14T03:30:26.000,4.0,0.0,500.0,0.0,501.0,4,265,265
2023-01-27T01:42:45.000,2023-01-27T01:42:57.000,1.0,0.0,500.0,0.0,501.0,2,265,265
2023-01-27T12:07:36.000,2023-01-27T12:09:04.000,0.0,0.0,500.0,0.0,501.0,2,130,130
2023-01-05T15:57:36.000,2023-01-05T17:54:49.000,2.0,71.63,497.9,0.0,500.65,4,132,265
2023-01-08T17:12:37.000,2023-01-08T18:56:36.000,2.0,82.04,466.0,10.0,498.55,1,132,265
2023-01-20T15:39:16.000,2023-01-20T18:06:38.000,1.0,68.17,495.1,0.0,497.85,2,132,265
2023-01-13T18:14:46.000,2023-01-13T18:15:18.000,1.0,0.0,445.0,50.0,496.0,1,265,265
2023-01-13T16:25:28.000,2023-01-13T18:39:25.000,1.0,71.14,444.7,25.0,495.75,1,132,265
2023-01-16T11:40:13.000,2023-01-16T12:41:23.000,2.0,54.06,386.0,82.26,494.81,1,138,265
2023-01-15T22:14:56.000,2023-01-15T22:57:24.000,1.0,37.73,350.0,81.71,490.26,1,22,265
