pickup_date,total_trips,total_amount_sum,avg_trip_distance,avg_total_amount
2025-02-12,128920,3175692.509999929,8.141338737201421,24.633047704001932
2025-02-13,142760,3607450.989999953,4.3675629728216725,25.269340081254924
2025-02-14,158575,4042672.0599998757,5.918228346208556,25.49375412265411
2025-02-15,148473,3367706.1699998155,4.6319398813251915,22.68228007785803
2025-02-16,113726,2698934.6599998064,7.08914197281183,23.731905281112557
2025-02-17,94574,2468707.1099999202,7.224757227144963,26.103443969800583
2025-02-18,117355,3041834.609999925,4.0309997017596295,25.91994043713455
2025-02-19,123679,3088943.1199999535,6.857138479450855,24.975485894937325
2025-02-20,142246,3506714.529999904,5.559933636095228,24.652464955077146
2025-02-21,133980,3463874.0199999507,3.4043404985819183,25.853664875354163
2025-02-22,141862,3309624.039999838,7.378494945792406,23.329884253710212
2025-02-23,108970,2824992.5299998615,8.568290630448653,25.924497843441877
2025-02-24,97348,2613992.859999918,7.4087032091055205,26.85204482886056
2025-02-25,115804,2976197.369999965,4.3802992988153004,25.700298521639713
2025-02-26,128974,3367776.8699999647,9.74180920185465,26.112060337742218
2025-02-27,144052,3769036.939999939,5.769039652347881,26.1644193763359
2025-02-28,149484,3835199.8899999256,8.006349642771127,25.656256790023853
2025-03-01,164226,3948393.159999985,5.299576071998348,24.04243639862132
2025-03-02,128857,3301681.6199998944,7.362872874581967,25.622834770325976
2025-03-03,111319,2960445.0599999377,5.407023149687043,26.59424770254797
2025-03-04,125887,3224842.259999991,5.595537108676855,25.616960130910982
2025-03-05,148102,3852755.6899999734,6.628395767781744,26.014204332149284
2025-03-06,146400,3789078.700000017,3.5815893442624085,25.881685109289734
2025-03-07,137877,3528870.699999973,6.410865409024079,25.594339157364704
2025-03-08,147698,3480405.089999976,9.111959471353714,23.56433458814592
2025-03-09,117402,3149456.8499998217,8.381988722509016,26.82626232943069
2025-03-10,105213,2887417.149999901,5.862794331499068,27.443539771700276
2025-03-11,125981,3333090.8899999335,5.7747293639517885,26.45709186305819
2025-03-12,138868,3643387.8800000385,6.135618429011783,26.23633868133795
2025-03-13,156893,4127460.009999911,6.156711006864679,26.30748350786785
2025-03-14,145063,3772816.3999999156,5.403201850230608,26.0081233670882
2025-03-15,152910,3727401.7699998925,5.08276587535156,24.376442155515612
2025-03-16,118920,3170497.0699998653,6.461079044735985,26.6607557181287
2025-03-17,112592,3228121.49999993,10.046348674861514,28.670966853772295
2025-03-18,125058,3327672.899999994,8.503067536663039,26.609036607014296
2025-03-19,128292,3405483.319999938,4.830359024724917,26.544783150936443
2025-03-20,153239,4125246.87999987,5.251312785909604,26.920345864955202
2025-03-21,134581,3603513.6300000083,6.675803270892694,26.77579769804065
2025-03-22,142104,3561060.8599999137,9.379093480831063,25.05953991442826
2025-03-23,121065,3296152.179999845,9.474277206459313,27.226301408333086
2025-03-24,110918,3101554.5899998746,8.136880127661914,27.96259029192624
2025-03-25,119934,3234197.059999988,6.06275059616125,26.966473727216535
2025-03-26,131537,3523344.6099999547,6.7598480275511825,26.785958399537428
2025-03-27,142834,3913798.2699999195,9.960530405925901,27.401026856350164
2025-03-28,136362,3637780.479999934,4.753993341253373,26.677376981856632
2025-03-29,163096,4115489.9899999257,4.805120665129732,25.233543373227583
2025-03-30,136781,3732905.3199998173,6.949606889845848,27.29111002258952
2025-03-31,115220,3173846.3299998906,5.507428484638205,27.545967106404188
2025-04-01,128957,3505395.8299999097,8.13667648906229,27.18267197592926
2025-04-02,137393,3607174.219999958,9.090369596704397,26.25442504348808
2025-04-03,138411,3788285.629999922,6.930761789164142,27.36983064929754
2025-04-04,135084,3608301.9999999646,6.888037221284562,26.711542447661934
2025-04-05,153237,3745759.329999974,3.9176433237403767,24.444222544163445
2025-04-06,122921,3287502.5399998697,6.016552013081594,26.74484050731665
2025-04-07,115829,3202282.9899998554,6.081256334769341,27.646642809657816
2025-04-08,131574,3428890.1299999547,6.432308586802945,26.06054486448656
2025-04-09,137646,3664179.8699999102,6.370957310782781,26.620314938319385
2025-04-10,147648,3940906.799999953,3.798076167642086,26.691230494147923
2025-04-11,154758,3951887.6499998528,5.866742333191198,25.535918337015552
2025-04-12,149391,3536534.6099998443,5.300804265317195,23.673009819867623
2025-04-13,109780,2869774.309999884,6.254005101111282,26.141139642921154
2025-04-14,99795,2718346.0599999246,5.30312540708458,27.2393011673924
2025-04-15,122082,3245806.29,6.764467570976846,26.587099572418538
2025-04-16,133969,3534136.650000036,3.7999464801558474,26.380256999753946
2025-04-17,135522,3691493.779999983,7.122383081713748,27.239073951092685
2025-04-18,125581,3283652.419999987,5.273549581544978,26.14768492048946
2025-04-19,134049,3311341.359999929,9.639270938239012,24.702469693917365
2025-04-20,115504,3063929.7799999444,8.144329027566156,26.52661189222836
2025-04-21,107881,3061939.269999956,8.704654943873399,28.382562916546526
2025-04-22,124843,3452595.9199999394,11.999271404884636,27.655502671354736
2025-04-23,135843,3685551.350000008,6.712396737410178,27.130962581804052
2025-04-24,148387,4130916.819999973,6.166966917587201,27.838805420959876
2025-04-25,147589,3959955.499999926,9.743574317869351,26.830966399934454
2025-04-26,158506,3995420.6599999648,9.8155383392428,25.20674712629153
2025-04-27,141509,3799469.739999963,8.101615939622175,26.84966850164981
2025-04-28,110105,3158024.6099999086,12.167233549793437,28.681936424321407
2025-04-29,126466,3486131.8599999775,4.072800041117834,27.565763604446868
2025-04-30,140308,3881288.889999954,6.320326781081654,27.662634276020995
2025-05-01,157143,4399189.429999897,10.538248537955928,27.994816377439005
2025-05-02,147086,3954533.8599999254,5.856467916729042,26.885861740749803
2025-05-03,164004,4070329.949999986,7.760753274310369,24.81847973220157
2025-05-04,142682,3888323.62999994,8.226833447806928,27.25167596473234
2025-05-05,137188,3812941.419999966,7.2642332419746936,27.793549144239773
2025-05-06,144921,3964983.0900000003,5.583387914795046,27.359617239737513
2025-05-07,149451,4158130.139999923,8.116315715518937,27.822698677157884
2025-05-08,165824,4632177.219999912,6.440301042068852,27.934299136433278
2025-05-09,163691,4473865.469999905,12.610584577038479,27.331163411549227
2025-05-10,159387,4052486.2799999584,9.823620621506132,25.425450507255665
2025-05-11,147535,4010272.9899999076,8.948550038973808,27.181841529128054
2025-05-12,128681,3687245.6199999363,8.098963949611939,28.65415733480418
2025-05-13,151498,4184228.79999996,9.31054502369681,27.619036554937757
2025-05-14,162954,4675025.239999882,3.1975817715429824,28.68923278962089
2025-05-15,168804,4818846.1599999275,5.192963614606438,28.546990355678346
2025-05-16,163632,4719708.5199999185,6.639115576415468,28.843432335972906
2025-05-17,179126,4802616.659999865,6.243336645713119,26.81138784989262
2025-05-18,143771,4209564.369999864,7.158113319097829,29.27964867740966
2025-05-19,135579,3478216.589999873,6.603741508640798,25.654537870908275
2025-05-20,151301,3773845.6599999117,4.360268074897152,24.942635276699505
2025-05-21,164793,4127230.869999967,5.405832225883524,25.04494044043113
2025-05-22,162940,4131207.9199998723,7.177588130600429,25.35416668712331
2025-05-23,135539,3346363.2099999273,12.987862681589947,24.689301308110043
2025-05-24,120501,2541275.2199999387,11.196491315424764,21.08924589837378
2025-05-25,113909,2905547.229999914,9.210263982652837,25.50761774749944
2025-05-26,98714,2757346.619999946,8.866847053102925,27.932680470854653
2025-05-27,124926,3520916.459999936,6.616121784096255,28.184016617837248
2025-05-28,156454,4303562.299999935,7.855866964091736,27.506885729990508
2025-05-29,149182,4151393.6299998965,6.545681181375858,27.827711319059247
2025-05-30,147192,3972115.7099999357,6.527072191423548,26.98594835317093
2025-05-31,153436,3906928.82999996,9.228829479392129,25.462921543835606
2025-06-01,131827,3684427.24999992,10.734739848437702,27.948957724896417
2025-06-02,114839,3240587.8999999603,7.211513771454054,28.218531161016383
2025-06-03,140826,3810232.1199999307,7.618263033814845,27.056311476573438
2025-06-04,158588,4364061.8999999445,9.24725710646478,27.518235301535707
2025-06-05,177340,4906698.379999864,4.725245686252525,27.66831160482612
2025-06-06,163616,4581899.090000035,7.6497850454725755,28.0039793785451
2025-06-07,163816,4404477.449999884,6.188556062899899,26.886735422668625
2025-06-08,139865,4086524.6699999394,8.390765881385729,29.217636077645867
2025-06-09,128597,3614199.4099999834,9.166358546466887,28.104850113144035
2025-06-10,141039,3901756.7499999823,5.527256574422754,27.664381837647618
2025-06-11,151921,4474416.029999997,7.338993424214078,29.452254987789683
2025-06-12,167192,4636441.519999967,7.393178561175328,27.731240250729503
2025-06-13,146778,3918505.3300000154,7.8435860278789615,26.696816484759402
2025-06-14,146409,3654959.6500000176,7.831268842762459,24.964036705393916
2025-06-15,125074,3318256.4299999643,8.257144170650967,26.53034547547823
2025-06-16,119913,3326384.45999994,7.386128943484004,27.73998198694003
2025-06-17,136744,3658167.6300000325,6.3282070145674485,26.75194253495607
2025-06-18,157383,4248958.889999981,6.5300148046486,26.997572101179802
2025-06-19,143836,3807542.00999997,9.522635571067223,26.471411955282196
2025-06-20,140275,3824097.8299999456,5.033374728212621,27.261435252182824
2025-06-21,157148,4027108.719999952,8.944193626390467,25.62621681472212
2025-06-22,135715,3761989.959999974,8.788671849095508,27.71978012747282
2025-06-23,141713,3957929.2799999393,7.350300678131306,27.929189841439666
2025-06-24,157733,4256650.189999992,8.280381530814827,26.98642763403975
2025-06-25,158320,4332228.48999992,7.045742483577603,27.36374741030773
2025-06-26,152851,4372703.069999986,4.7485529044626125,28.607618334194648
2025-06-27,138402,3838585.1499999925,8.558650669788118,27.735041039869312
2025-06-28,142771,3759210.370000008,6.842361754137789,26.330349790923982
2025-06-29,129912,3640334.0199999474,5.157045846419203,28.021537810209583
2025-06-30,112506,2984211.0999999964,10.273410573658385,26.524906227223404
2025-07-01,131478,3385809.739999962,7.579076879782246,25.751910890034544
2025-07-02,112327,2994352.7799999584,11.022795409830348,26.657462408859477
2025-07-03,105435,2755431.889999957,7.010091335894244,26.133939299093818
2025-07-04,88185,2270130.1899999455,10.59876090037991,25.74281555820089
2025-07-05,94764,2469895.109999983,8.15101610316167,26.063643472204458
2025-07-06,96065,2734715.9699999285,5.736071618175259,28.46734991932471
2025-07-07,102807,2874328.999999968,9.54953485657605,27.95849504411147
2025-07-08,131924,3503595.5300000207,4.659825808799086,26.55768116491329
2025-07-09,136134,3666615.019999954,7.882312280547224,26.933866778321022
2025-07-10,129180,3547674.879999958,6.9129383031430125,27.463035144758926
2025-07-11,124211,3295826.819999981,6.583766011061875,26.53409778522016
2025-07-12,136207,3495102.0399999595,6.1497864280102785,25.66022333653894
2025-07-13,118992,3249900.1699999305,8.08855830644075,27.311921557751198
2025-07-14,136073,3741247.260000079,11.157677276168197,27.49441299890558
2025-07-15,133444,3714836.2399999183,9.055290159167916,27.83816612211803
2025-07-16,144325,3871094.0999999726,6.040233777931874,26.8220620128181
2025-07-17,147848,4019561.7800000017,6.485588983280218,27.187123126454207
2025-07-18,128409,3442941.2199999224,4.831786712769462,26.812304589241585
2025-07-19,136926,3467534.0199999553,8.040897346011727,25.32414603508432
2025-07-20,123945,3315734.200000008,7.40231602727018,26.751657590060173
2025-07-21,111317,3111276.649999962,5.951373464969425,27.94969905764584
2025-07-22,123086,3344436.149999976,9.806598963326545,27.171539817688252
2025-07-23,130406,3510137.639999947,4.898018419397958,26.916994923546056
2025-07-24,134564,3701486.950000002,5.287813010909365,27.507260114146444
2025-07-25,137005,3610404.009999993,4.9708398233642885,26.3523521769278
2025-07-26,140599,3623700.9299999624,5.068691882588105,25.773305144417545
2025-07-27,118777,3170596.7799999556,6.045723498657126,26.69369305505237
2025-07-28,120972,3324338.179999976,6.07659367456936,27.480228317296366
2025-07-29,139067,3670323.0900000012,8.34024542127187,26.392480530967095
2025-07-30,142973,3761889.729999963,7.554470914088758,26.311889167884587
2025-07-31,141526,3954541.659999972,5.554035724884656,27.94215663552967
2025-08-01,123253,3331851.7099999534,5.733922663140127,27.032621599473874
2025-08-02,128651,3301980.459999926,6.288556171347336,25.6661857272771
2025-08-03,110831,2960757.7899999563,8.058309768927481,26.71416652380612
2025-08-04,105176,2849448.3799999314,11.3298499657718,27.092191944929752
2025-08-05,117583,3102475.179999923,7.2620325217081385,26.385405883502912
2025-08-06,126842,3367452.2399999714,8.659871178316402,26.548400687469226
2025-08-07,121674,3298946.6799999443,7.297483768101763,27.112996038594478
2025-08-08,115538,3070586.389999986,7.411824421402587,26.57641979262222
2025-08-09,114880,2932468.2699999036,6.403701601671267,25.526360288996376
2025-08-10,102769,2890332.3899998846,7.86935826951713,28.12455497280196
2025-08-11,99484,2742017.2299999483,7.188115576374094,27.56239425435194
2025-08-12,114599,3011085.719999943,6.259208631838002,26.2749737781302
2025-08-13,134000,3532852.6599998893,7.119980895522387,26.364572089551412
2025-08-14,123193,3368380.54999996,7.547817570803582,27.34230475757519
2025-08-15,118200,3158531.7299999576,7.884366159052609,26.721926649745836
2025-08-16,121365,3101120.6099999365,7.127185185185211,25.55201755036408
2025-08-17,115203,3111695.85999992,6.80293091325744,27.010545385102123
2025-08-18,94785,2454764.339999934,7.863162736720041,25.89823642981415
2025-08-19,107047,2639278.519999971,5.823480246994322,24.65532448363776
2025-08-20,132182,3144456.0099999737,5.322925284834598,23.788836679729265
2025-08-21,114532,2890530.649999928,6.308925889707719,25.2377558236993
2025-08-22,113785,2758536.8799999272,5.3424323065431105,24.24341415828033
2025-08-23,126686,2687407.309999959,4.567972546295525,21.213135705602507
2025-08-24,112316,2962619.259999909,5.835212436340298,26.37753534669957
2025-08-25,99132,2822116.9899999183,5.17282370980114,28.468274522857588
2025-08-26,107701,2995568.959999961,8.802191344555784,27.813752518546355
2025-08-27,113712,3188855.2999999034,6.662320423526139,28.043261045447302
2025-08-28,116732,3315399.1699999347,8.690702121097953,28.40180216221717
2025-08-29,113683,3218687.3499998883,7.602981976197051,28.312829094938454
2025-08-30,117063,3068442.6599999163,9.755614327327963,26.211891545577306
2025-08-31,111483,3036743.8599999063,6.490209987173024,27.239524052993787
2025-09-01,98007,2878746.6199998613,4.725101472343831,29.37286744824208
2025-09-02,118917,3727403.499999888,10.553313992112239,31.344580673914475
2025-09-03,131860,3617256.819999957,7.941602912179604,27.432555892613053
2025-09-04,150893,4118472.1699999487,7.637651514649501,27.29399090746389
2025-09-05,147058,3996943.049999918,7.523851609569079,27.17936494444313
2025-09-06,148005,3844540.869999959,5.890324651194272,25.9757499408801
2025-09-07,128728,3544374.149999834,11.203897364986656,27.533824420482212
2025-09-08,124409,3506079.839999955,7.170682989172837,28.1818826612219
2025-09-09,140841,3850582.299999993,5.291172314879912,27.339924453816664
2025-09-10,152786,4333319.73999993,6.101122026887357,28.362020996687722
2025-09-11,155338,4345450.129999852,4.642607861566443,27.97416041148883
2025-09-12,161096,4456932.299999871,5.511252793365566,27.666312633459995
2025-09-13,166369,4238353.66999993,7.58534348346149,25.475621479962793
2025-09-14,145484,3927483.479999834,5.08645823595721,26.995982238595545
2025-09-15,129352,3644888.729999912,5.838305863071487,28.17806241882547
2025-09-16,143858,3932827.0700000166,5.242106521708994,27.338257656856182
2025-09-17,149841,4171632.0799999866,4.390866184822652,27.840391348162296
2025-09-18,161661,4617728.029999882,7.113126480722148,28.564267386691174
2025-09-19,155135,4296625.739999876,8.11933625551956,27.696043703870025
2025-09-20,157514,4162351.1599998916,3.8793137752834554,26.425277499142247
2025-09-21,137531,3904159.6399998525,5.356406192058493,28.38748820265869
2025-09-22,119526,3446858.369999948,7.850534277061149,28.837728778675334
2025-09-23,116445,3253970.76999992,7.371082657048513,27.94427214564747
2025-09-24,135382,3807476.5299999723,10.45602118450028,28.12394949106951
2025-09-25,152897,4463261.699999937,7.203230082997074,29.191296755331607
2025-09-26,155360,4372971.779999984,5.7757568228630625,28.14734667868167
2025-09-27,163820,4195665.409999878,7.9047594921254625,25.611435783175914
2025-09-28,138200,3757311.2899999013,7.653639507959472,27.187491244572367
2025-09-29,124242,3577470.5999999796,6.770406947731095,28.79437388322773
2025-09-30,140464,3818476.40999998,8.73111067604521,27.18473352602788
2025-10-01,135029,3674490.2499999083,8.112269882765922,27.212600626531398
2025-10-02,131906,3469518.739999983,8.132000439707152,26.302963777235174
2025-10-03,142690,3882331.259999939,5.506307659962255,27.208152358258733
2025-10-04,147729,3800808.1499999803,6.158094754584464,25.728246654346677
2025-10-05,126963,3654060.9499998265,5.506242212298065,28.78051833998745
2025-10-06,120579,3414839.6699999324,10.449160135678675,28.32035155375258
2025-10-07,134704,3626990.939999987,5.730670061765131,26.925636506710912
2025-10-08,149074,4158597.7099999646,5.530642633859753,27.89619725773753
2025-10-09,162293,4755461.739999932,4.460697072578701,29.301705803700298
2025-10-10,156862,4467243.269999869,6.40166037663691,28.47881112060199
2025-10-11,154335,4043372.0299998894,7.87746136650793,26.1986719149894
2025-10-12,129982,3551854.699999916,5.55228708590421,27.325742795155605
2025-10-13,112005,3026003.4399999212,7.885350921833911,27.01668175527808
2025-10-14,139132,3979696.8499999414,5.339428456429933,28.60374931719476
2025-10-15,146153,4122457.7299998864,4.316056940329737,28.206453032095723
2025-10-16,161458,4729431.6199998865,6.253278189993803,29.292024055790897
2025-10-17,153567,4372376.149999942,6.782011890575535,28.472107614265706
